SYMBOL,NAME,# of shares,DESCRIPTION, 
VLO,VALERO ENERGY,72,"Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power.",
UVE,UNIVERSAL INSURANCE,169,,
SWKS,SKYWORKS SOLUTION,59,Skyworks manufactures semiconductors for use in radio frequency and mobile communications systems.,
NKE,NIKE,60,,
DRE,DUKE REALTY,29,"pure-play, domestic-only, industrial property REIT",
LRCX,LAM RESEARCH,290,"engages in the design, manufacture, marketing, and service of semiconductor processing equipment used in the fabrication of integrated circuits.",
XOM,EXXON MOBILL,106,oil and gas corporation ,
PGR,PROGESSIVE,92,,
BBY,BEST BUY,54,,
MU,MICRON,118,"forms of semiconductor devices, including dynamic random-access memory, flash memory, and solid-state drives",
TROW,T.Rowe Price Group,50,"global asset management firm that offers funds, advisory services, account management, and retirement plans and services for individuals, institutions, and financial intermediaries.",
LOW,LOWE'S,49,,
SBUX,STARBUCKS,72,,
CE,CELANESE,152,,
MCK,MCKESSON,109,"distributing pharmaceuticals and providing health information technology, medical supplies, and care management tools. ",
PK,PARK HOTELS & RESORTS INC,280,one of the largest publicly traded lodging real estate investment trusts (REIT) with a diverse portfolio of market-leading hotels and resorts with significant underlying real estate value.,
